,Seq Snicket++,Tempo,Parallel Snicket++,Jaeger,%age decrease,Raw GCS,,,,Tempo,Our System
30-span-trace,632,122,75,12,38.5,24,,,Graph Query,14,1
4-span-trace,109,116,54,7,53.4,24,,,,,
1-span-trace,49,111,46,6,58.6,24,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
NEW,,,,,,,,,,,
137,,,,,,23.8,,,,,
132,,124.5,,,,21.6,,,,,
129,,,,,,33,,,,,
116,,,,,,26,29,,,,
116,,,,,,29,,,,,
120,,,,,,30,,,,,
127,,,,,,30,,,,,
122,,,,,,,,,,,
191,,,,,,,,,,,
113,,,,,,,,,,,
112,,,,,,,,,,,
136,,,,,,,,,,,
121,,,,,,,,,,,
111,,,,,,,,,,,
110,,,,,,,,,,,
127,,,,,,,,,,,
148,,,,,,,,,,,
135,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Strategy: Let the cluster run for 10 minutes before running any queries,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Q1: GET trace ids where (frontend)->(adservice)->(a),System,Median Time(seconds),,,,,,,,,
20 Minutes Old Data,Snicket++ (with ingestor load),3,,,,,,,,,
,Tempo (with ingestor load),81,,,,,,,,,
,Tempo (without ingestor load),56,,,,,,,,,
1 Minute Old Data,Snicket++ (with ingestor load),2.9,,,,,,,,,
,Tempo (with ingestor load),29,,,,,,,,,
,Tempo (without ingestor load),9,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Q2: GET trace ids where (frontend)->(adservice)->(currencyservice),System,Median Time(seconds),,,,,,,,,
20 Minutes Old Data,Snicket++ (with ingestor load),?,,,,,,,,,
,Tempo (with ingestor load),78,,,,,,,,,
,Tempo (without ingestor load),53.5,,,,,,,,,
1 Minute Old Data,Snicket++ (with ingestor load),?,,,,,,,,,
,Tempo (with ingestor load),20,,,,,,,,,
,Tempo (without ingestor load),9.2,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Q3: GET trace ids where (frontend)->(adservice)->(checkoutservice) where end to end latency greater than 100 milliseconds
",System,Median Time(seconds),,,,,,,,,
20 Minutes Old Data,Snicket++ (with ingestor load),?,,,,,,,,,
,Tempo (with ingestor load),101,,,,,,,,,
,Tempo (without ingestor load),55.4,,,,,,,,,
1 Minute Old Data,Snicket++ (with ingestor load),?,,,,,,,,,
,Tempo (with ingestor load),17,,,,,,,,,
,Tempo (without ingestor load),8,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Q4: GET trace ids where (frontend)->(adservice)->(checkoutservice) where duration of checkoutservice span is greater than 50 milliseconds
",System,Median Time(seconds),,,,,,,,,
20 Minutes Old Data,Snicket++ (with ingestor load),?,,,,,,,,,
,Tempo (with ingestor load),70.3,,,,,,,,,
,Tempo (without ingestor load),48.5,,,,,,,,,
1 Minute Old Data,Snicket++ (with ingestor load),?,,,,,,,,,
,Tempo (with ingestor load),16.4,,,,,,,,,
,Tempo (without ingestor load),9.1,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Query,No Ingestor Load Time (ms) ,,,,,,,,,,
GET trace ids where (frontend)->(adservice)->(a),46049,55970,,,,,,,,,
,76907,,,,,,,,,,
,61901,,,,,,,,,,
,48709,,,,,,,,,,
,47959,,,,,,,,,,
,54906,,,,,,,,,,
,55625,,,,,,,,,,
,50921,,,,,,,,,,
,60344,,,,,,,,,,
,63150,,,,,,,,,,
,63792,,,,,,,,,,
,49381,,,,,,,,,,
,50844,,,,,,,,,,
,50320,,,,,,,,,,
,56315,,,,,,,,,,
,56834,,,,,,,,,,
,54760,,,,,,,,,,
,61724,,,,,,,,,,
